ID,Nama Tempat Makanan Non Halal,Luas (m2),Kecamatan,Alamat,Jadwal Buka,Jam Buka,No Telfon,Keterangan,Pelayanan,Fasilitas,Pembayaran,X,Y
1,Bakwan B2/Babi Subur,172.15,Klojen,"Jl. Wuni No.25, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65146",Senin - Minggu,Pukul 10.00 - 17.00 WIB,(0341) 586512,Makanan : Non Halal,Makan di tempat/Di bawa pulang,"tempat duduk, Parkir mobil, toilet",Tunai,112.6139255,-7.979172114
2,Bakso Pak Samut,188.19,Sukun,"Jl. Tidar Blok G, Ruko Raya Tidar No.50e, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65146",Senin - Minggu,Pukul 10.00 - 17.00 WIB,(0341) 586512,Makanan : Non Halal,Makan di tempat/Di bawa pulang,"tempat duduk, Parkir mobil, toilet",Tunai,112.6070724,-7.965577733
3,Bakso Subur Jalan Panderman,150.47,Klojen,"Jl. Panderman No.11, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115",Senin - Sabtu,Pukul 10.00 - 18.00 WIB,-,Makanan : Non Halal,Makan di tempat/Di bawa pulang,"Baik untuk anak, toilet",Tunai,112.6202199,-7.972814942
4,Bakso Gondhol,44.04,Blimbing,"Jl. Sunandar Priyo Sudarmo No.31, Blimbing, Kec. Blimbing, Kota Malang, Jawa Timur 65125",Selasa - Minggu,Pukul 10.00 - 18.00 WIB,0821-3190-8919,Makanan : Non Halal,Makan di tempat/Di bawa pulang,"Tersedia menu untuk anak, tempat duduk, toilet",Tunai dan Debit,112.6468009,-7.947666003
5,Bakwan Subur Bakwan Babi,99.59,Lowokwaru,"Jl. Taman Borobudur Utara No.26, Tunjungsekar, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",Senin - Minggu,Pukul 12.00 - 17.30 WIB,(0341) 494655,Makanan : Non Halal,Makan di tempat/Di bawa pulang,"tempat duduk, toilet",Tunai,112.6359606,-7.936402712
6,Bakwan Babi Bakwan Mulia Malang,60.3,Blimbing,"Ruko, Jl. Borobudur Agung No.18, Blimbing, Kec. Blimbing, Kota Malang, Jawa Timur 65125",Selasa - Minggu,Pukul 11.00 - 17.00 WIB,0851-0032-1850,Makanan : Non Halal,Makan di tempat/Di bawa pulang/Delivery + No-contact,"tempat duduk, toilet",Tunai,112.6389063,-7.941087783
7,Bakso Pak Gundhul,48.16,Blimbing,"Jl. Laksda Adi Sucipto No.78 B, Blimbing, Kec. Blimbing, Kota Malang, Jawa Timur 65126",Selasa - Minggu,Pukul 11.00 - 18.00 WIB,0851-0073-5685,Makanan : Non Halal,Makan di tempat (indoor-outdoor) /Di bawa pulang,"tempat duduk, toilet",Tunai,112.6457885,-7.942636455
8,Bakso Dora(B2),30.35,Sukun,"Jl Gempol Marga Bhakti Rt 5/Rw 10 No 02 , kec Sukun Kel, Tanjungrejo, Kec. Sukun, Kota Malang, Jawa Timur 65147","Senin - Kamis, Sabtu - Minggu",Pukul 14.00 - 20.00 WIB,-,Makanan : Non Halal,Makan di tempat/Di bawa pulang,"tempat duduk, toilet",Tunai,112.6138641,-7.995956215
9,Bakwan Mulia Chinese Food,42.02,Lowokwaru,"Pujasera Anugerah, Jl. Simpang Borobudur No.29, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",Senin - Minggu,Pukul 09.00 - 21.00 WIB,0817-0314-9906,Makanan : Non Halal,Makan di tempat/Di bawa pulang,"tempat duduk, toilet",Tunai,112.6371154,-7.938227066
10,Bakso & Mie Glory Chinese Food,68.18,Lowokwaru,"Jl. Semanggi Timur, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",Senin - Minggu,Pukul 10.00 - 18.00 WIB,0852-3299-4500,Makanan : Non Halal,Makan di tempat/Di bawa pulang/Delivery,"tempat duduk, toilet",Tunai,112.6186059,-7.946754363
